name,phone,role,email,ID
"Hristo Ivanov",88568020,"5D","hristo.ivanov.5d@student.hbschool.bg",99
"Ivan Stefanov",88568012,"5D","ivan.stefanov.5d@student.hbschool.bg",100
"Jivko Hristov",88568006,"5D","jivko.hristov.5d@student.hbschool.bg",101
"Karina Georgieva",88568007,"5D","karina.georgieva.5d@student.hbschool.bg",102
"Karina Stefanova",88568009,"5D","karina.stefanova.5d@student.hbschool.bg",103
"Kristina Ivanova",88568005,"5D","kristina.ivanova.5d@student.hbschool.bg",104
"Kristina Petkova",88568015,"5D","kristina.petkova.5d@student.hbschool.bg",105
"Lyubomir Kostov",88568002,"5D","lyubomir.kostov.5d@student.hbschool.bg",106
"Maria Dimitrova",88568003,"5D","maria.dimitrova.5d@student.hbschool.bg",107
"Martin Nikolov",88568014,"5D","martin.nikolov.5d@student.hbschool.bg",108
"Milena Todorova",88568011,"5D","milena.todorova.5d@student.hbschool.bg",109
"Nikola Dimitrov",88568010,"5D","nikola.dimitrov.5d@student.hbschool.bg",110
"Oksana Stefanova",88568013,"5D","oksana.stefanova.5d@student.hbschool.bg",111
"Pavel Ivanov",88568008,"5D","pavel.ivanov.5d@student.hbschool.bg",112
"Petar Kostov",88568016,"5D","petar.kostov.5d@student.hbschool.bg",113
"Rosen Petkov",88568004,"5D","rosen.petkov.5d@student.hbschool.bg",114
"Silvia Petrova",88568001,"5D","silvia.petrova.5d@student.hbschool.bg",115
"Aleksandar Georgiev",88665012,"6A","aleksandar.georgiev.6a@student.hbschool.bg",116
"Boris Ivanov",88665016,"6A","boris.ivanov.6a@student.hbschool.bg",118
"Daniel Ivanov",88665020,"6A","daniel.ivanov.6a@student.hbschool.bg",119
"Daniel Stefanov",88665010,"6A","daniel.stefanov.6a@student.hbschool.bg",120
"Darina Petkova",88665017,"6A","darina.petkova.6a@student.hbschool.bg",121
"Elitsa Stoyanova",88665013,"6A","elitsa.stoyanova.6a@student.hbschool.bg",122
"Georgi Petkov",88665002,"6A","georgi.petkov.6a@student.hbschool.bg",123
"Gergana Ivanova",88665005,"6A","gergana.ivanova.6a@student.hbschool.bg",124
"Kalina Hristova",88665019,"6A","kalina.hristova.6a@student.hbschool.bg",125
"Kristina Nikolova",88665015,"6A","kristina.nikolova.6a@student.hbschool.bg",126
"Martin Kostov",88665004,"6A","martin.kostov.6a@student.hbschool.bg",127
"Milena Georgieva",88665009,"6A","milena.georgieva.6a@student.hbschool.bg",128
"Ognyan Dimitrov",88665014,"6A","ognyan.dimitrov.6a@student.hbschool.bg",129
"Petar Petrov",88665006,"6A","petar.petrov.6a@student.hbschool.bg",130
"Petya Stoyanova",88665001,"6A","petya.stoyanova.6a@student.hbschool.bg",131
"Tsvetanka Petkova",88665003,"6A","tsvetanka.petkova.6a@student.hbschool.bg",132
"Tsvetanka Vasileva",88665007,"6A","tsvetanka.vasileva.6a@student.hbschool.bg",133
"Veselin Petkov",88665008,"6A","veselin.petkov.6a@student.hbschool.bg",134
"Yasen Stoyanov",88665018,"6A","yasen.stoyanov.6a@student.hbschool.bg",135
"Aleksandra Dimitrova",88666009,"6B","aleksandra.dimitrova.6b@student.hbschool.bg",136
"Anna Vasileva",88666001,"6B","anna.vasileva.6b@student.hbschool.bg",137
"Daniel Georgiev",88666002,"6B","daniel.georgiev.6b@student.hbschool.bg",138
"Dimitar Stefanov",88666012,"6B","dimitar.stefanov.6b@student.hbschool.bg",139
"Emil Vasilev",88666010,"6B","emil.vasilev.6b@student.hbschool.bg",140
"Ivan Petkov",88666014,"6B","ivan.petkov.6b@student.hbschool.bg",141
"Ivan Vasilev",88666008,"6B","ivan.vasilev.6b@student.hbschool.bg",142
"Kaloyan Nikolov",88666018,"6B","kaloyan.nikolov.6b@student.hbschool.bg",143
"Karina Stefanova",88666011,"6B","karina.stefanova.6b@student.hbschool.bg",144
"Kristina Petkova",88666003,"6B","kristina.petkova.6b@student.hbschool.bg",145
"Lazar Vasilev",88666006,"6B","lazar.vasilev.6b@student.hbschool.bg",146
"Nevena Ivanova",88666005,"6B","nevena.ivanova.6b@student.hbschool.bg",148
"Nevena Petrova",88666015,"6B","nevena.petrova.6b@student.hbschool.bg",149
"Pavel Petrov",88666016,"6B","pavel.petrov.6b@student.hbschool.bg",150
"Stefan Todorov",88666004,"6B","stefan.todorov.6b@student.hbschool.bg",151
"Teodora Stefanova",88666013,"6B","teodora.stefanova.6b@student.hbschool.bg",152
"Todor Todorov",88666020,"6B","todor.todorov.6b@student.hbschool.bg",153
"Violeta Vasileva",88666017,"6B","violeta.vasileva.6b@student.hbschool.bg",154
"Yana Georgieva",88666019,"6B","yana.georgieva.6b@student.hbschool.bg",155
"Aleksandra Petrova",88667011,"6C","aleksandra.petrova.6c@student.hbschool.bg",156
"Atanas Hristov",88667016,"6C","atanas.hristov.6c@student.hbschool.bg",157
"Atanas Vasilev",88667004,"6C","atanas.vasilev.6c@student.hbschool.bg",158
"Daniela Georgieva",88667009,"6C","daniela.georgieva.6c@student.hbschool.bg",159
"Darina Petrova",88667003,"6C","darina.petrova.6c@student.hbschool.bg",160
"Dimitar Stefanov",88667008,"6C","dimitar.stefanov.6c@student.hbschool.bg",161
"Ivan Nikolov",88667018,"6C","ivan.nikolov.6c@student.hbschool.bg",162
"Ivan Todorov",88667002,"6C","ivan.todorov.6c@student.hbschool.bg",163
"Jivko Stoyanov",88667010,"6C","jivko.stoyanov.6c@student.hbschool.bg",164
"Martin Stoyanov",88667006,"6C","martin.stoyanov.6c@student.hbschool.bg",165
"Martin Vasilev",88667012,"6C","martin.vasilev.6c@student.hbschool.bg",166
"Nevena Nikolova",88667015,"6C","nevena.nikolova.6c@student.hbschool.bg",167
"Nikola Georgiev",88667020,"6C","nikola.georgiev.6c@student.hbschool.bg",168
"Nikolay Dimitrov",88667014,"6C","nikolay.dimitrov.6c@student.hbschool.bg",169
"Oksana Stefanova",88667005,"6C","oksana.stefanova.6c@student.hbschool.bg",170
"Oksana Stoyanova",88667013,"6C","oksana.stoyanova.6c@student.hbschool.bg",171
"Petya Hristova",88667007,"6C","petya.hristova.6c@student.hbschool.bg",172
"Tanya Stoyanova",88667017,"6C","tanya.stoyanova.6c@student.hbschool.bg",174
"Tsvetanka Kostova",88667019,"6C","tsvetanka.kostova.6c@student.hbschool.bg",175
"Anelia Georgieva",88668011,"6D","anelia.georgieva.6d@student.hbschool.bg",176
"Dimitar Nikolov",88668012,"6D","dimitar.nikolov.6d@student.hbschool.bg",177
"Elena Nikolova",88668005,"6D","elena.nikolova.6d@student.hbschool.bg",178
"Filip Georgiev",88668010,"6D","filip.georgiev.6d@student.hbschool.bg",179
"Galina Vasileva",88668009,"6D","galina.vasileva.6d@student.hbschool.bg",180
"Hristina Todorova",88668003,"6D","hristina.todorova.6d@student.hbschool.bg",181
"Hristo Ivanov",88668020,"6D","hristo.ivanov.6d@student.hbschool.bg",182
"Kaloyan Kostov",88668006,"6D","kaloyan.kostov.6d@student.hbschool.bg",183
"Kristina Nikolova",88668017,"6D","kristina.nikolova.6d@student.hbschool.bg",184
"Kristina Petrova",88668001,"6D","kristina.petrova.6d@student.hbschool.bg",185
"Lyubomir Kostov",88668004,"6D","lyubomir.kostov.6d@student.hbschool.bg",186
"Lyubomir Stoyanov",88668018,"6D","lyubomir.stoyanov.6d@student.hbschool.bg",187
"Martin Kostov",88668016,"6D","martin.kostov.6d@student.hbschool.bg",188
"Nikola Todorov",88668008,"6D","nikola.todorov.6d@student.hbschool.bg",189
"Radina Georgieva",88668007,"6D","radina.georgieva.6d@student.hbschool.bg",190
"Simeon Ivanov",88668014,"6D","simeon.ivanov.6d@student.hbschool.bg",191
"Tsvetanka Hristova",88668019,"6D","tsvetanka.hristova.6d@student.hbschool.bg",192
"Violeta Vasileva",88668013,"6D","violeta.vasileva.6d@student.hbschool.bg",193
"Yasen Vasilev",88668002,"6D","yasen.vasilev.6d@student.hbschool.bg",194
"Zhaneta Stoyanova",88668015,"6D","zhaneta.stoyanova.6d@student.hbschool.bg",195
"Anelia Petkova",88765013,"7A","anelia.petkova.7a@student.hbschool.bg",196
"Eva Stefanova",88765005,"7A","eva.stefanova.7a@student.hbschool.bg",197
"Filip Nikolov",88765004,"7A","filip.nikolov.7a@student.hbschool.bg",198
"Gergana Todorova",88765011,"7A","gergana.todorova.7a@student.hbschool.bg",200
"Kristina Petrova",88765019,"7A","kristina.petrova.7a@student.hbschool.bg",201
"Lazar Ivanov",88765002,"7A","lazar.ivanov.7a@student.hbschool.bg",202
"Nevena Nikolova",88765007,"7A","nevena.nikolova.7a@student.hbschool.bg",203
"Nevena Nikolova",88765015,"7A","nevena.nikolova.7a@student.hbschool.bg",204
"Nevena Todorova",88765017,"7A","nevena.todorova.7a@student.hbschool.bg",205
"Pavel Dimitrov",88765020,"7A","pavel.dimitrov.7a@student.hbschool.bg",206
"Petar Stoyanov",88765008,"7A","petar.stoyanov.7a@student.hbschool.bg",207
"Plamen Georgiev",88765014,"7A","plamen.georgiev.7a@student.hbschool.bg",208
"Radina Georgieva",88765003,"7A","radina.georgieva.7a@student.hbschool.bg",209
"Stefka Stefanova",88765009,"7A","stefka.stefanova.7a@student.hbschool.bg",210
"Teodora Hristova",88765001,"7A","teodora.hristova.7a@student.hbschool.bg",211
"Valentin Hristov",88765012,"7A","valentin.hristov.7a@student.hbschool.bg",212
"Veselin Petrov",88765018,"7A","veselin.petrov.7a@student.hbschool.bg",213
"Viktor Petkov",88765006,"7A","viktor.petkov.7a@student.hbschool.bg",214
"Yasen Dimitrov",88765016,"7A","yasen.dimitrov.7a@student.hbschool.bg",215
"Aleksandar Vasilev",88766012,"7B","aleksandar.vasilev.7b@student.hbschool.bg",216
"Aleksandar Vasilev",88766014,"7B","aleksandar.vasilev.7b@student.hbschool.bg",217
"Aleksandra Ivanova",88766017,"7B","aleksandra.ivanova.7b@student.hbschool.bg",218
"Aleksandra Todorova",88766007,"7B","aleksandra.todorova.7b@student.hbschool.bg",219
"Bilyana Hristova",88766005,"7B","bilyana.hristova.7b@student.hbschool.bg",221
"Bilyana Todorova",88766001,"7B","bilyana.todorova.7b@student.hbschool.bg",222
"Daniela Ivanova",88766015,"7B","daniela.ivanova.7b@student.hbschool.bg",223
"Desislava Todorova",88766009,"7B","desislava.todorova.7b@student.hbschool.bg",224
"Elitsa Stefanova",88766011,"7B","elitsa.stefanova.7b@student.hbschool.bg",225
"Gergana Petrova",88766019,"7B","gergana.petrova.7b@student.hbschool.bg",226
"Hristo Stoyanov",88766016,"7B","hristo.stoyanov.7b@student.hbschool.bg",227
"Lyubomir Petkov",88766008,"7B","lyubomir.petkov.7b@student.hbschool.bg",228
"Nikolay Stoyanov",88766006,"7B","nikolay.stoyanov.7b@student.hbschool.bg",229
"Petar Dimitrov",88766004,"7B","petar.dimitrov.7b@student.hbschool.bg",230
"Petar Vasilev",88766018,"7B","petar.vasilev.7b@student.hbschool.bg",231
"Rosen Hristov",88766010,"7B","rosen.hristov.7b@student.hbschool.bg",232
"Simeon Dimitrov",88766020,"7B","simeon.dimitrov.7b@student.hbschool.bg",233
"Vladimir Kostov",88766002,"7B","vladimir.kostov.7b@student.hbschool.bg",234
"Zlatka Petkova",88766013,"7B","zlatka.petkova.7b@student.hbschool.bg",235
"Anna Ivanova",88767009,"7C","anna.ivanova.7c@student.hbschool.bg",236
"Anna Nikolova",88767017,"7C","anna.nikolova.7c@student.hbschool.bg",237
"Daniel Stefanov",88767006,"7C","daniel.stefanov.7c@student.hbschool.bg",238
"Dimitar Petkov",88767010,"7C","dimitar.petkov.7c@student.hbschool.bg",239
"Georgi Stefanov",88767018,"7C","georgi.stefanov.7c@student.hbschool.bg",241
"Georgi Stefanov",88767020,"7C","georgi.stefanov.7c@student.hbschool.bg",242
"Georgi Todorov",88767016,"7C","georgi.todorov.7c@student.hbschool.bg",243
"Kalina Vasileva",88767001,"7C","kalina.vasileva.7c@student.hbschool.bg",244
"Nevena Georgieva",88767015,"7C","nevena.georgieva.7c@student.hbschool.bg",245
"Nevena Ivanova",88767011,"7C","nevena.ivanova.7c@student.hbschool.bg",246
"Nikolay Hristov",88767012,"7C","nikolay.hristov.7c@student.hbschool.bg",247
"Petar Dimitrov",88767008,"7C","petar.dimitrov.7c@student.hbschool.bg",248
"Petya Georgieva",88767007,"7C","petya.georgieva.7c@student.hbschool.bg",249
"Radina Nikolova",88767013,"7C","radina.nikolova.7c@student.hbschool.bg",250
"Rosen Stefanov",88767004,"7C","rosen.stefanov.7c@student.hbschool.bg",251
"Silvia Kostova",88767005,"7C","silvia.kostova.7c@student.hbschool.bg",252
"Simeon Kostov",88767002,"7C","simeon.kostov.7c@student.hbschool.bg",253
"Stefka Ivanova",88767003,"7C","stefka.ivanova.7c@student.hbschool.bg",254
"Tsvetanka Todorova",88767019,"7C","tsvetanka.todorova.7c@student.hbschool.bg",255
"Anelia Hristova",88768001,"7D","anelia.hristova.7d@student.hbschool.bg",256
"Desislava Nikolova",88768019,"7D","desislava.nikolova.7d@student.hbschool.bg",257
"Eva Petkova",88768009,"7D","eva.petkova.7d@student.hbschool.bg",258
"Georgi Stefanov",88768012,"7D","georgi.stefanov.7d@student.hbschool.bg",259
"Ivan Georgiev",88768016,"7D","ivan.georgiev.7d@student.hbschool.bg",260
"Ivan Todorov",88768008,"7D","ivan.todorov.7d@student.hbschool.bg",261
"Jivko Ivanov",88768010,"7D","jivko.ivanov.7d@student.hbschool.bg",262
"Karina Stefanova",88768017,"7D","karina.stefanova.7d@student.hbschool.bg",263
"Lyubomir Stefanov",88768020,"7D","lyubomir.stefanov.7d@student.hbschool.bg",264
"Martin Stefanov",88768006,"7D","martin.stefanov.7d@student.hbschool.bg",265
"Petya Hristova",88768011,"7D","petya.hristova.7d@student.hbschool.bg",266
"Petya Kostova",88768005,"7D","petya.kostova.7d@student.hbschool.bg",267
"Radina Hristova",88768013,"7D","radina.hristova.7d@student.hbschool.bg",268
"Rosen Nikolov",88768004,"7D","rosen.nikolov.7d@student.hbschool.bg",269
"Stoyan Petrov",88768002,"7D","stoyan.petrov.7d@student.hbschool.bg",270
"Veselin Vasilev",88768014,"7D","veselin.vasilev.7d@student.hbschool.bg",272
"Viktor Petkov",88768018,"7D","viktor.petkov.7d@student.hbschool.bg",273
"Violeta Stefanova",88768007,"7D","violeta.stefanova.7d@student.hbschool.bg",274
"Yana Dimitrova",88768015,"7D","yana.dimitrova.7d@student.hbschool.bg",275
"Aleksandra Stefanova",88865011,"8A","aleksandra.stefanova.8a@student.hbschool.bg",276
"Anna Dimitrova",88865007,"8A","anna.dimitrova.8a@student.hbschool.bg",277
"Anton Petkov",88865010,"8A","anton.petkov.8a@student.hbschool.bg",278
"Filip Dimitrov",88865018,"8A","filip.dimitrov.8a@student.hbschool.bg",279
"Hristina Petrova",88865003,"8A","hristina.petrova.8a@student.hbschool.bg",280
"Hristina Vasileva",88865009,"8A","hristina.vasileva.8a@student.hbschool.bg",281
"Irina Georgieva",88865015,"8A","irina.georgieva.8a@student.hbschool.bg",282
"Kaloyan Ivanov",88865002,"8A","kaloyan.ivanov.8a@student.hbschool.bg",283
"Lazar Stoyanov",88865004,"8A","lazar.stoyanov.8a@student.hbschool.bg",284
"Martin Stoyanov",88865012,"8A","martin.stoyanov.8a@student.hbschool.bg",285
"Nevena Ivanova",88865005,"8A","nevena.ivanova.8a@student.hbschool.bg",286
"Radina Nikolova",88865017,"8A","radina.nikolova.8a@student.hbschool.bg",287
"Simeon Todorov",88865008,"8A","simeon.todorov.8a@student.hbschool.bg",288
"Stefan Nikolov",88865020,"8A","stefan.nikolov.8a@student.hbschool.bg",289
"Stoyan Dimitrov",88865014,"8A","stoyan.dimitrov.8a@student.hbschool.bg",290
"Tsvetanka Petrova",88865013,"8A","tsvetanka.petrova.8a@student.hbschool.bg",291
"Viktor Dimitrov",88865006,"8A","viktor.dimitrov.8a@student.hbschool.bg",292
"Violeta Dimitrova",88865001,"8A","violeta.dimitrova.8a@student.hbschool.bg",294
"Zlatka Nikolova",88865019,"8A","zlatka.nikolova.8a@student.hbschool.bg",295
"Aleksandar Stoyanov",88866014,"8B","aleksandar.stoyanov.8b@student.hbschool.bg",296
"Boryana Stoyanova",88866003,"8B","boryana.stoyanova.8b@student.hbschool.bg",297
"Daniel Petrov",88866020,"8B","daniel.petrov.8b@student.hbschool.bg",298
"Darina Nikolova",88866011,"8B","darina.nikolova.8b@student.hbschool.bg",299
"Elena Hristova",88866001,"8B","elena.hristova.8b@student.hbschool.bg",300
"Filip Georgiev",88866012,"8B","filip.georgiev.8b@student.hbschool.bg",301
"Galina Dimitrova",88866005,"8B","galina.dimitrova.8b@student.hbschool.bg",302
"Hristina Ivanova",88866013,"8B","hristina.ivanova.8b@student.hbschool.bg",303
"Kristina Stefanova",88866015,"8B","kristina.stefanova.8b@student.hbschool.bg",304
"Milena Vasileva",88866019,"8B","milena.vasileva.8b@student.hbschool.bg",305
"Simeon Hristov",88866002,"8B","simeon.hristov.8b@student.hbschool.bg",306
"Stefan Ivanov",88866006,"8B","stefan.ivanov.8b@student.hbschool.bg",307
"Stoyan Nikolov",88866018,"8B","stoyan.nikolov.8b@student.hbschool.bg",308
"Tsvetanka Stoyanova",88866007,"8B","tsvetanka.stoyanova.8b@student.hbschool.bg",309
"Valentin Ivanov",88866010,"8B","valentin.ivanov.8b@student.hbschool.bg",310
"Valentin Stefanov",88866004,"8B","valentin.stefanov.8b@student.hbschool.bg",311
"Viktor Ivanov",88866008,"8B","viktor.ivanov.8b@student.hbschool.bg",312
"Violeta Ivanova",88866017,"8B","violeta.ivanova.8b@student.hbschool.bg",313
"Yana Kostova",88866009,"8B","yana.kostova.8b@student.hbschool.bg",314
"Yasen Kostov",88866016,"8B","yasen.kostov.8b@student.hbschool.bg",315
"Anna Nikolova",88867001,"8C","anna.nikolova.8c@student.hbschool.bg",316
"Boryana Kostova",88867011,"8C","boryana.kostova.8c@student.hbschool.bg",317
"Darina Ivanova",88867013,"8C","darina.ivanova.8c@student.hbschool.bg",318
"Filip Vasilev",88867016,"8C","filip.vasilev.8c@student.hbschool.bg",320
"Kristina Stoyanova",88867003,"8C","kristina.stoyanova.8c@student.hbschool.bg",321
"Kristina Vasileva",88867017,"8C","kristina.vasileva.8c@student.hbschool.bg",322
"Lyubomir Hristov",88867006,"8C","lyubomir.hristov.8c@student.hbschool.bg",323
"Martin Hristov",88867004,"8C","martin.hristov.8c@student.hbschool.bg",324
"Milena Stoyanova",88867015,"8C","milena.stoyanova.8c@student.hbschool.bg",325
"Ognyan Nikolov",88867014,"8C","ognyan.nikolov.8c@student.hbschool.bg",326
"Oksana Ivanova",88867005,"8C","oksana.ivanova.8c@student.hbschool.bg",327
"Tanya Stoyanova",88867009,"8C","tanya.stoyanova.8c@student.hbschool.bg",328
"Todor Georgiev",88867002,"8C","todor.georgiev.8c@student.hbschool.bg",329
"Tsvetanka Dimitrova",88867007,"8C","tsvetanka.dimitrova.8c@student.hbschool.bg",330
"Tsvetanka Georgieva",88867019,"8C","tsvetanka.georgieva.8c@student.hbschool.bg",331
"Vladimir Nikolov",88867012,"8C","vladimir.nikolov.8c@student.hbschool.bg",332
"Yasen Georgiev",88867018,"8C","yasen.georgiev.8c@student.hbschool.bg",333
"Yasen Petrov",88867008,"8C","yasen.petrov.8c@student.hbschool.bg",334
"Yasen Stoyanov",88867020,"8C","yasen.stoyanov.8c@student.hbschool.bg",335
"Aleksandar Petkov",88868006,"8D","aleksandar.petkov.8d@student.hbschool.bg",336
"Boris Petrov",88868002,"8D","boris.petrov.8d@student.hbschool.bg",337
"Boryana Petkova",88868011,"8D","boryana.petkova.8d@student.hbschool.bg",338
"Emil Ivanov",88868012,"8D","emil.ivanov.8d@student.hbschool.bg",339
